2006-07-03;2006-08-31
2006-10-24;2006-11-05
2006-12-22;2007-01-07
2007-02-16;2007-03-04
2007-04-06;2007-04-22
2007-07-03;2007-09-03
2007-10-26;2007-11-07
2007-12-21;2008-01-06
2008-02-22;2008-03-09
2008-04-18;2008-05-04
2008-07-02;2008-09-01
2008-10-24;2008-11-05
2008-12-19;2009-01-04
2009-02-13;2009-03-01
2009-04-10;2009-04-26
2009-07-01;2009-09-01
2009-10-23;2009-11-04
2009-12-18;2010-01-03
2010-02-19;2010-03-07
2010-04-16;2010-05-02
2010-07-01;2010-09-01
2010-10-22;2010-11-03
2010-12-17;2011-01-02
2011-02-11;2011-02-27
2011-04-08;2011-04-25
2011-07-01;2011-09-04
2011-10-21;2011-11-02
2011-12-16;2012-01-02
2012-02-17;2012-03-04
2012-04-13;2012-04-29
2012-07-04;2012-09-03
2012-10-26;2012-11-11
2012-12-21;2013-01-06
2013-03-01;2013-03-17
2013-04-26;2013-05-12
2013-07-05;2013-09-01
2013-10-18;2013-11-04
2013-12-20;2014-01-06
2014-02-14;2014-03-03
2014-04-11;2014-04-28
2014-07-04;2014-08-31
2014-10-17;2014-11-02
2014-12-20;2015-01-04
2015-02-14;2015-03-01
2015-04-18;2015-05-03
2015-07-04;2015-08-31
2015-10-17;2015-11-01
2015-12-19;2016-01-03
2016-02-20;2016-03-06
2016-04-16;2016-05-01
2016-07-05;2016-08-31
2016-10-19;2016-11-02
2016-12-17;2017-01-02
2017-02-04;2017-02-19
2017-04-01;2017-04-17
2017-07-08;2017-09-03
2017-10-21;2017-11-05
2017-12-23;2018-01-07
2018-02-17;2018-03-04
2018-04-14;2018-04-29
2018-07-07;2018-09-02
2018-10-20;2018-11-04
2018-12-22;2019-01-06
2019-02-23;2019-03-10
2019-04-20;2019-05-05
